カテゴリー,クラス名,説明
フォーム,.form-select,セレクトボックスのスタイル
フォーム,.form-check,チェックボックスやラジオボタンのコンテナ
フォーム,.form-check-input,チェックボックスやラジオボタンの入力
フォーム,.form-check-label,チェックボックスやラジオボタンのラベル
フォーム,.form-switch,スイッチスタイルのトグル
フォーム,.input-group,入力グループ
フォーム,.is-valid,有効な入力を示す
フォーム,.is-invalid,無効な入力を示す
ボタン,.btn,基本的なボタンスタイル
ボタン,.btn-primary,主要色のボタン
ボタン,.btn-secondary,副次色のボタン
ボタン,.btn-success,成功を表す色のボタン
ボタン,.btn-danger,危険を表す色のボタン
ボタン,.btn-warning,警告を表す色のボタン
ボタン,.btn-info,情報を表す色のボタン
ボタン,.btn-light,明るい色のボタン
ボタン,.btn-dark,暗い色のボタン
ボタン,.btn-link,リンクスタイルのボタン
ボタン,.btn-outline-*,アウトラインスタイルのボタン（*は色名）
ボタン,.btn-lg,大きいサイズのボタン
ボタン,.btn-sm,小さいサイズのボタン
ナビゲーション,.nav,基本的なナビゲーションコンテナ
ナビゲーション,.nav-item,ナビゲーション項目
ナビゲーション,.nav-link,ナビゲーションリンク
ナビゲーション,.nav-tabs,タブスタイルのナビゲーション
ナビゲーション,.nav-pills,ピルスタイルのナビゲーション
ナビゲーション,.nav-fill,幅全体に広がるナビゲーション
ナビゲーション,.nav-justified,均等幅のナビゲーション
ナビバー,.navbar,ナビバーコンテナ
ナビバー,.navbar-brand,ブランドロゴや名前
ナビバー,.navbar-nav,ナビバー内のナビゲーション
ナビバー,.navbar-toggler,モバイル用の折りたたみボタン
ナビバー,.navbar-collapse,折りたたみ可能なコンテンツ
ナビバー,.navbar-expand-*,レスポンシブな展開（*は sm、md、lg、xl、xxl）
ナビバー,.navbar-light,明るい背景用のナビバー
ナビバー,.navbar-dark,暗い背景用のナビバー
カード,.card,カードコンテナ
カード,.card-body,カードの主要コンテンツ
カード,.card-title,カードのタイトル
カード,.card-subtitle,カードのサブタイトル
カード,.card-text,カードのテキスト
カード,.card-link,カード内のリンク
カード,.card-img-top,カード上部の画像
カード,.card-img-bottom,カード下部の画像
カード,.card-header,カードヘッダー
カード,.card-footer,カードフッター
アラート,.alert,アラートコンテナ
アラート,.alert-heading,アラートの見出し
アラート,.alert-link,アラート内のリンク
アラート,.alert-dismissible,閉じることができるアラート
アラート,.alert-*,アラートの色（*は primary、secondary、success など）
モーダル,.modal,モーダルコンテナ
モーダル,.modal-dialog,モーダルのダイアログ
モーダル,.modal-content,モーダルの内容
モーダル,.modal-header,モーダルのヘッダー
モーダル,.modal-title,モーダルのタイトル
モーダル,.modal-body,モーダルの本文
モーダル,.modal-footer,モーダルのフッター
リスト群,.list-group,リスト群コンテナ
リスト群,.list-group-item,リスト群の項目
リスト群,.list-group-item-action,クリック可能なリスト項目
ページネーション,.pagination,ページネーションコンテナ
ページネーション,.page-item,ページネーション項目
ページネーション,.page-link,ページネーションリンク
プログレスバー,.progress,プログレスバーコンテナ
プログレスバー,.progress-bar,プログレスバー
スピナー,.spinner-border,ボーダースピナー
スピナー,.spinner-grow,グロースピナー
トースト,.toast,トースト通知
トースト,.toast-header,トーストのヘッダー
トースト,.toast-body,トーストの本文
その他,.clearfix,フロートした要素を含む親要素にクリアフィックスを適用
その他,.visually-hidden,視覚的に隠す
その他,.visually-hidden-focusable,フォーカス時のみ表示
その他,.stretched-link,親要素全体をクリッカブルにする
その他,.text-decoration-none,テキストの装飾を削除
その他,.font-monospace,等幅フォントを適用
その他,.user-select-all,テキスト全選択を許可
その他,.user-select-auto,テキスト選択を自動設定
その他,.user-select-none,テキスト選択を禁止
その他,.pe-none,ポインターイベントを無効化
その他,.pe-auto,ポインターイベントを有効化
その他,.overflow-auto,オーバーフローを自動調整
その他,.overflow-hidden,オーバーフローを隠す
その他,.overflow-visible,オーバーフローを表示
その他,.overflow-scroll,オーバーフローをスクロール可能に
その他,.d-grid,グリッドコンテナとして表示
その他,.gap-{0-5},グリッドギャップを設定
その他,.ratio,アスペクト比を維持するコンテナ
その他,.ratio-1x1,1:1のアスペクト比
その他,.ratio-4x3,4:3のアスペクト比
その他,.ratio-16x9,16:9のアスペクト比
その他,.ratio-21x9,21:9のアスペクト比
その他,.fixed-top,画面上部に固定
その他,.fixed-bottom,画面下部に固定
その他,.sticky-top,スクロールで上部に固定
その他,.sticky-bottom,スクロールで下部に固定
その他,.visually-hidden,視覚的に隠すが、スクリーンリーダーでは読み上げる
その他,.text-truncate,テキストを省略（...）で表示
その他,.text-break,長い文字列を強制的に折り返す
その他,.text-nowrap,テキストを折り返さない
その他,.text-lowercase,全て小文字に変換
その他,.text-uppercase,全て大文字に変換
その他,.text-capitalize,単語の先頭を大文字に変換
その他,.fs-1,フォントサイズ1（最大）
その他,.fs-2,フォントサイズ2
その他,.fs-3,フォントサイズ3
その他,.fs-4,フォントサイズ4
その他,.fs-5,フォントサイズ5
その他,.fs-6,フォントサイズ6（最小）
その他,.fst-italic,イタリック体
その他,.fst-normal,通常のフォントスタイル
その他,.fw-bold,太字
その他,.fw-bolder,より太い
その他,.fw-normal,通常の太さ
その他,.fw-light,細字
その他,.fw-lighter,より細い
その他,.lh-1,行の高さ1
その他,.lh-sm,小さい行の高さ
その他,.lh-base,基本の行の高さ
その他,.lh-lg,大きい行の高さ
その他,.opacity-0,不透明度0%
その他,.opacity-25,不透明度25%
その他,.opacity-50,不透明度50%
その他,.opacity-75,不透明度75%
その他,.opacity-100,不透明度100%
その他,.shadow,通常のシャドウ
その他,.shadow-sm,小さいシャドウ
その他,.shadow-lg,大きいシャドウ
その他,.shadow-none,シャドウなし
その他,.w-auto,幅を自動設定
その他,.w-25,幅25%
その他,.w-50,幅50%
その他,.w-75,幅75%
その他,.w-100,幅100%
その他,.h-auto,高さを自動設定
その他,.h-25,高さ25%
その他,.h-50,高さ50%
その他,.h-75,高さ75%
その他,.h-100,高さ100%
その他,.translate-middle,要素を中央に配置
